hjd,phase,target flux,comp flux,check flux,mag
2459928.7047447,0.0991141320710085,1585711.0930102533,3061328.1870678696,646825.5184805299,10.86221432825294
2459928.7064773,0.10012393547958709,1588922.7329968258,3282955.013134765,640813.5402783204,10.93590514586616
2459928.7081983,0.10112697833233142,1578927.7181848146,2997704.7759130867,652834.1324401856,10.844066290883841
2459929.6233556,0.634503985549145,1640209.822932129,3462851.315766601,637245.8179809572,10.959335853968918
2459929.6250838,0.63551122450599,1642377.1632714837,3409033.901054688,636919.5656005859,10.940895819494902
2459929.6268078,0.6365160157126866,1658139.6301708985,3408835.3374609374,640422.6870483402,10.930462073665062
2459945.7388741,0.02703904783516009,639107.1107714846,1797512.5843945316,313896.4670300294,11.270745488445902
2459945.7406139,0.02805304761932348,329117.9883740233,886944.4259960938,159236.0566363526,11.22436173564623
2459945.7423464,0.02906279267699574,660250.5348461913,1800933.152382813,320420.9691320801,11.237471841363933
2459948.7385654,0.7753356172333952,1322246.1327294926,2888293.6604101555,516584.2321313476,10.996322367299765
2459948.7402986,0.7763457704757002,1308702.768305664,2874947.6048730477,514024.27550537104,11.002472046292961
2459948.7420304,0.7773551076202239,1290567.13543457,2814761.035253905,506855.235686035,10.994652085854009
2459950.5701071,0.8428048170544571,1595868.313117675,3947514.7325854497,705546.7841198732,11.131316533172296
2459950.5718389,0.8438141541992081,1569671.8642822267,3952421.651074219,704682.0308251949,11.150635753159305
2459950.5735764,0.8448268135421131,1583894.1682104503,3951580.0354809556,703259.521092529,11.14061132053097
2459957.726356,0.013649131390820912,955655.0410742186,2704607.350986328,487900.8646044921,11.277507436103889
2459957.7280988,0.01466487952893658,999400.6869042969,2821609.217138672,505702.62045410165,11.274892817825194
2459957.7298462,0.01568330882059854,926459.0602490235,2580120.3334570313,470998.4950683595,11.260034084831378
2459958.5941989,0.5194500997761224,1529523.2834643556,3786982.811337889,670705.0821374514,11.132342867018064
2459958.5959277,0.5204576885666938,1555251.0377514649,3899025.3224023436,691300.2190893556,11.145888653344581
2459958.5976566,0.5214653357079442,1543427.1936169432,3886011.3230688474,693633.9004962158,11.150544548252757
2459959.6988715,0.16328145576062525,1439613.191948242,3277596.274101563,576719.9760711668,11.041273862430183
2459959.7006336,0.16430845258446425,1385082.7722509769,3148222.583095703,555892.399490967,11.039474019462238
2459959.7023864,0.16533002929327267,1387865.6118261714,3145583.329516601,557316.1803808592,11.036384212211681
2459963.7134818,0.50309869507646,1032458.3930200196,2567560.271884766,464256.8828393554,11.137119983761837
2459963.7152252,0.5041147930483021,1062604.0655273434,2664974.0668554693,480787.076171875,11.14630354855956
2459963.7169736,0.5051338050341201,1053715.6153930663,2641951.1253222656,473570.5314746094,11.146003171169244
2459966.6746933,0.228968256031294,1527168.5271252436,3365766.0498925787,594207.2912432861,11.005992163929456
2459966.6764301,0.22998050746127774,1524078.9494226074,3324448.8787988275,589180.9315924073,10.99478024947353
2459966.6781748,0.2309973629085107,1496090.8502758788,3240848.871547853,576310.4746557616,10.987251794531758
2459967.7006493,0.8269215706700379,1336572.1542846684,3018790.996835937,539446.400124512,11.032601356395316
2459967.702436,0.8279629049745836,1325546.209174805,3001934.717119141,534079.8997265624,11.035515691962472
2459967.7042363,0.8290121657660166,1321199.645581055,2988347.115986327,536605.5124365235,11.034156247712076
2459969.714654,0.0007348587237174797,831753.1015380858,2483666.9406640623,446017.94545532233,11.335747082482042
2459969.7166826,0.0019171784356331045,834745.4186950685,2500144.43788086,445166.8941503907,11.339027401408257
2459970.658143,0.5506243031877602,1307882.2402197265,3036717.3179101553,545657.2523168946,11.062589072632331
2459970.6599117,0.5516551465534576,1310683.2155957029,3061622.2960839844,549322.0850683596,11.06913444847456
2459970.6616774,0.5526842415649753,1320395.3297021487,3072591.505585937,549866.1684179684,11.065001878582757
2459980.6417617,0.369331823344055,1192332.4172607423,2594653.3834667965,474571.2728393554,10.992204757082506
2459980.6435173,0.3703550317054578,1100039.4918798832,2382432.822773437,436515.15820678713,10.987030730817015
2459980.6452722,0.371377832153712,1231156.8369799806,2740282.7384912106,493554.56232788076,11.016704748048001
2459986.630103,0.859489811318781,1282962.6492309573,2994531.3754589837,535534.3804870604,11.06828690053
2459986.6318585,0.8605129616005343,1248151.7371923828,2908276.8687109374,522937.49557739263,11.066420672438635
2459986.6336164,0.8615375104029681,1172119.5838916015,2727514.90234375,489024.3232763673,11.064987788198914
