hjd,phase,target flux,comp flux,check flux,mag
2459898.5288911,0.5118572921021496,352424.458034668,765048.6848535157,154526.82001953127,10.929557878472524
2459898.5304014,0.5127375332986048,351832.71451538085,768298.7872680663,155050.55290344235,10.935985119048619
2459898.5319205,0.5136229036695568,352737.6567504882,754747.0192749023,155293.36425109862,10.913874250021468
2459902.6633317,0.921514685232296,21684.208936767584,52273.39135131834,9651.398801879885,11.043343031490313
2459902.6648384,0.9223928285121019,28938.775953369146,69188.15287048339,13029.930075683598,11.034379244659135
2459902.6663555,0.9232770329520008,25525.663101806647,63413.15377990722,11935.010478515624,11.07600609733752
2459903.5183519,0.419842257286291,54100.50848327635,125671.77777526854,22241.88071838379,11.003091326873841
2459903.5198688,0.4207263452958614,160789.549798584,361045.66419067373,66802.02361083982,10.966261084280404
2459903.5213843,0.4216096174791346,97809.56141479494,233755.37637207028,39828.06104248046,11.033951039864107
2459904.5387467,0.01455436279411515,64104.08869995118,177904.0109490967,31998.17803588867,11.19625031993269
2459904.5402535,0.015432564153570638,151390.3141345214,405062.0646520996,75145.14589111328,11.156559002272665
2459904.5417639,0.01631286370070484,69628.87520202638,186266.15127563474,34286.19466552734,11.15636170127453
2459906.511294,0.16420522102021096,378577.2574841309,773856.5434399416,146235.29939025876,10.864265143587875
2459906.5128169,0.16509280600939746,371384.9935571289,771393.8731835935,144208.23090454104,10.881629882040807
2459906.514346,0.16598400440852856,367722.0480078124,770601.293574219,144860.8167919922,10.891275456240733
2459907.5453824,0.7668983057169498,287990.99651367177,572251.2727050782,108905.25738769534,10.833519939159522
2459907.5468971,0.7677811113651387,282197.78159362794,557959.2567858887,107398.07888977049,10.828122526908318
2459907.5484026,0.768658555248976,272697.4236724854,549894.9798461915,103666.0453314209,10.849497097453934
2459910.5064436,0.49268026821482636,337611.0736291504,820174.7707080079,152839.65172363285,11.051724604674792
2459910.5079605,0.49356435622439676,337732.56122558593,814893.9733398438,152084.31918151854,11.044320728532462
2459910.509478,0.49444879379620943,337113.6145898438,812694.9533740238,151198.53715576173,11.043378474337025
2459915.6676086,0.5007388189765152,349028.0153686523,836308.6833154298,157474.92849121097,11.036766093177619
2459915.6691182,0.5016186522598218,338272.16704101564,809292.0230908203,153383.67019287107,11.035097782846972
