hjd,phase,target flux,comp flux,check flux,mag
2459898.5379999,0.5171661329654853,73021.3477746582,155477.12840637207,30836.76287719726,10.731541917342554
2459898.5395059,0.5180438680608859,73644.02124938964,155893.21809631347,31128.71898010255,10.725224570813735
2459898.5410128,0.5189221277710203,73117.94426879882,154661.80268920894,30470.847289428708,10.724397989977499
2459902.6724398,0.9268231181822557,4148.096168518067,9374.7275189209,1909.9384890747071,10.796274844724213
2459902.6739551,0.9277062736639436,6497.507868347169,14222.3780758667,2786.469378967286,10.761563764984851
2459902.6754655,0.9285865732110778,3940.4007269287117,9392.568783874513,1849.2897787475583,10.854110235933375
2459903.5274801,0.4251624049145448,68157.91414764403,140757.06243347164,27871.17209625244,10.698385010487405
2459903.5289963,0.42604608501096664,69501.4029931641,141036.4103265381,27649.53117401123,10.679344437119735
2459903.5305133,0.426930231371216,68919.43167358401,140978.6773010254,28136.91087890624,10.688029612003472
2459904.5478359,0.019851780190492718,6963.618676757813,16060.196418457033,3533.166422729492,10.818289929383457
2459904.549347,0.02073248792225968,21990.7837564087,52287.181569519045,10511.997618713382,10.851386563625681
2459904.5508553,0.021611563458691307,12356.919037780763,28154.46436553955,5897.382173461914,10.805092922193168
2459906.5204376,0.16953434436504722,75211.38270477296,140276.1788482666,28223.027301940918,10.587751137198042
2459906.5219609,0.1704221624861475,73409.24889038086,137874.25897705078,27043.371529541015,10.595331278790404
2459906.5234757,0.17130502648501533,72893.52423217776,136984.13047241216,27046.00956939697,10.595953525414206
2459907.5544868,0.7722045821285519,47908.33183959962,88772.69322387697,17186.170892486578,10.580671118855363
2459907.5559997,0.7730863388183025,46564.58290802003,86978.58189575195,16857.99625869751,10.58939176529817
2459907.5575101,0.7739666383654367,45705.20351165772,83683.14738739014,16394.052782592775,10.567681149051218
2459910.5155611,0.49799417963049564,63841.772970581056,140044.0855578613,27807.56412414551,10.763899833440457
2459910.5170737,0.49887576153923874,62290.13545166016,135713.8540789795,27105.966037902836,10.756512523646858
2459910.5185899,0.49975944136440376,61866.96765777589,133354.09027954104,26731.944324951175,10.744869029222214
2459915.6767461,0.5060643869910564,71937.57361816404,156622.97848754883,31398.747250671386,10.75574948487354
2459915.6782625,0.5069481835175793,71673.52189819334,153941.90913696287,31264.679427185056,10.740995558894628
2459915.6797742,0.5078292408115885,70833.80531311032,153895.32105834957,30738.07328033448,10.753462358106107
2459918.5520502,0.18186492486506722,27039.98332275391,49620.92454345703,9543.975793457033,10.57014633284287
2459918.5559826,0.1841568279276089,78983.1374230957,146635.21486938477,29787.24235961914,10.582759998798736
2459918.557498,0.1850400417599758,79405.19291503908,146948.08989257817,29778.43303466796,10.57928785190789
2459922.5070235,0.48692419989356495,43271.46600708009,93569.83502075195,18565.72209716797,10.748335888524355
2459922.5085376,0.4878066559792842,40439.578776855466,87576.10704589845,17051.696042480467,10.749947783369553
2459922.5100573,0.4886923759124784,40325.059243164054,88326.04205932621,17176.72813964844,10.762284641237075
2459923.5029918,0.06739991851350169,50679.71469482422,102148.7849182129,19975.75854736328,10.671997860888094
2459923.5045028,0.06828056762287815,49879.68870727538,99893.72016967775,19867.31641906738,10.665036383450344
