hjd,phase,target flux,comp flux,check flux,mag
2459928.7099656,0.1021570058717316,1365821.4353405763,2692628.685317382,553364.9044543459,10.584955932359826
2459928.7110012,0.1027605799374669,1380191.1636767576,2739494.2916943356,558168.2821084594,10.592327465779054
2459928.7120391,0.10336549444423326,1348684.3470825192,2862211.0098193362,544364.006767578,10.664977899919105
2459929.628567,0.6375413222617681,1433160.4673474117,2810270.0597387687,556793.4802624512,10.579132664059962
2459929.6295962,0.6381411662159735,1442583.161270752,2792952.0415185555,558960.5787725832,10.565306122397445
2459929.6306281,0.6387425840146079,1436688.5807873541,2762525.420617676,559154.6825244142,10.557858680724431
2459945.7442739,0.030186188893139843,827857.9627294925,2165473.9235449224,399960.3561718751,10.891992392676112
2459945.7453146,0.03079273532375737,750284.6299731445,2023733.261464844,369375.9616186522,10.925317622541767
2459945.7463596,0.031401788126458996,366241.7536877441,989324.6853686522,178548.92160888674,10.926927049582966
2459948.74395,0.778473899547862,1153651.349790039,2404768.3182324213,456813.488190918,10.645496230501406
2459948.7449907,0.7790804459784795,1118158.090869141,2338948.965087891,439743.0663037109,10.649293410587179
2459948.7460285,0.7796853024058237,1150554.6560156252,2398644.218583984,457493.789666748,10.645646026043107
2459950.5754989,0.8459472954730245,1372519.3311096192,3162615.0775512694,587411.4372387696,10.754319240581198
2459950.5765554,0.8465630507523656,1367294.0426171876,3160842.636069334,585063.6009820553,10.75785195595568
2459950.577599,0.8471712874575132,1380887.40178711,3166992.6692871107,585559.5368762206,10.74922154939594
2459957.7317817,0.016811367676154987,914634.1886840819,2482213.3746582037,462835.5873950195,10.931978773345993
2459957.7328376,0.017426773121769656,898774.7020458985,2414256.2141406247,452270.4014733886,10.92083086815749
2459957.7338955,0.01804334422718057,907083.9456640626,2451213.893642577,456349.5407653808,10.92733389542265
2459958.5995704,0.5225807470862947,1291069.8409130864,3171902.6664916994,585849.0356356812,10.823924862238806
2459958.6006076,0.5231852536799124,1305341.9004125972,3156015.5999487313,583096.5112268064,10.806536728984558
2459958.6016351,0.523784106755329,1300756.5131018066,3121301.002399903,578901.9456646725,10.798348679452195
2459959.704316,0.16645464924886255,1220058.6937084962,2650237.2896826174,491536.99408996577,10.690259663858793
2459959.7053676,0.16706754859364992,1218892.9259692384,2646962.7658886714,491489.42036621104,10.689955261958309
2459959.7064422,0.1676938528910341,1220815.0606811524,2662898.8551904294,493280.89964843757,10.694761554267991
2459963.7188974,0.5062550447119065,968632.050427246,2379636.531748047,443159.3826062012,10.823879053959221
2459963.719946,0.5068661954310301,952605.5463623047,2293529.236337891,434503.195119629,10.801977509785454
2459963.7209983,0.5074795026887386,927453.3172924804,2257696.045776368,421698.5678100586,10.813933106280658
2459966.6800959,0.2321170290133523,1312103.1231127933,2752175.2137988284,514310.05917297374,10.65226984786388
2459966.6811366,0.23272357571522662,1315065.2423034676,2775238.509804688,515747.1213055422,10.65888210749555
2459966.6821793,0.23333128780564039,1294678.048779297,2734019.844135743,508372.5407342528,10.659599267340383
2459967.7062252,0.8301713473331347,1203359.5150878907,2650143.9499560553,493713.7123583985,10.705184743165582
2459967.7073236,0.830811522847398,1133840.8250146478,2490435.152788086,465745.8316711425,10.702307442040407
2459967.7084271,0.8314546707263162,1113482.7146459965,2421671.6784863276,456285.2670751954,10.691579030619508
2459970.6636455,0.553831300269394,1199832.5139135742,2711179.2752343738,505650.75818725576,10.73309359633364
2459970.6647235,0.5544595863243558,1185585.2615576172,2672728.3411816405,496318.6362109376,10.730554640434901
2459970.6658018,0.5550880468890682,1141986.7546704093,2564876.9428125,479125.3865844726,10.726513239434144
2459980.6472149,0.37251008711359646,1170760.692941894,2538641.2209619153,474425.8067340088,10.688332559163918
2459980.6482706,0.37312537612888264,1152237.7587695313,2483343.683657226,465275.68056457525,10.681736385746557
2459980.6493287,0.37374206366462204,1175271.074891358,2535060.8353271484,476876.5138293456,10.682625418099539
2459986.6355669,0.8626743115719364,1076115.584047852,2400334.9026855472,452599.6293359375,10.719031871143262
2459986.6366314,0.8632947292192057,1122286.3278271486,2511920.402822265,468737.9528515625,10.722755075921711
2459986.6377016,0.8639184690650836,1137740.8907250979,2545555.8753955076,475349.03427246097,10.722347740968631
