HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455946.79650,2012-01-20.2954027,ba,2.41,99.990,99.990,99.990,99.990,99.990,V
2455950.79737,2012-01-24.2965466,ba,2.07,15.321,10.615,0.005,217.765,1.077,V
2455958.72191,2012-02-01.2216418,ba,2.41,99.990,99.990,99.990,99.990,99.990,V
2455958.72375,2012-02-01.2234844,ba,2.39,99.990,99.990,99.990,99.990,99.990,V
2455966.78501,2012-02-09.2853165,ba,2.10,15.370,11.196,0.008,127.400,0.868,V
2455966.78692,2012-02-09.2872253,ba,2.11,15.420,11.211,0.008,125.735,0.930,V
2455971.72769,2012-02-14.2283502,ba,2.11,15.405,10.723,0.008,197.138,1.479,V
2455971.72998,2012-02-14.2306399,ba,2.13,15.391,10.704,0.008,200.722,1.521,V
2455984.72276,2012-02-27.2242966,ba,1.74,13.426,10.811,0.022,181.739,3.690,V
2455984.72435,2012-02-27.2258990,ba,2.00,13.334,10.782,0.031,186.627,5.330,V
2457008.80560,2014-12-17.3021127,ba,2.03,15.053,10.620,0.006,216.648,1.081,V
2457008.80700,2014-12-17.3035167,ba,1.99,15.056,10.630,0.006,214.609,1.118,V
2457009.79908,2014-12-18.2956462,ba,1.96,15.085,10.696,0.006,202.167,1.020,V
2457009.80083,2014-12-18.2973923,ba,1.78,15.100,10.692,0.005,202.846,0.973,V
2457010.79972,2014-12-19.2963239,ba,1.80,14.525,10.803,0.008,183.242,1.401,V
2457010.80118,2014-12-19.2977876,ba,2.00,14.512,10.809,0.008,182.069,1.416,V
2457011.79478,2014-12-20.2914340,ba,1.83,15.214,10.949,0.006,160.124,0.873,V
2457011.79626,2014-12-20.2929131,ba,1.77,15.193,10.942,0.006,161.023,0.875,V
2457012.79811,2014-12-21.2948100,ba,2.01,15.043,10.645,0.006,211.945,1.056,V
2457012.79978,2014-12-21.2964826,ba,2.12,15.015,10.623,0.005,216.210,1.026,V
2457021.77279,2014-12-30.2699689,ba,1.67,99.990,99.990,99.990,99.990,99.990,V
2457021.77442,2014-12-30.2716047,ba,1.65,15.063,10.670,0.006,207.069,1.048,V
2457037.75431,2015-01-15.2524821,ba,2.00,15.038,10.640,0.006,212.783,1.053,V
2457037.75570,2015-01-15.2538748,ba,2.00,15.061,10.629,0.006,215.000,1.097,V
2457043.74214,2015-01-21.2407180,ba,2.14,15.039,10.623,0.006,216.104,1.155,V
2457043.74353,2015-01-21.2421090,ba,2.15,15.029,10.620,0.006,216.772,1.145,V
2457045.72597,2015-01-23.2246917,ba,2.28,15.014,10.640,0.007,212.892,1.267,V
2457045.72738,2015-01-23.2260910,ba,2.28,15.006,10.632,0.006,214.326,1.212,V
2457052.73613,2015-01-30.2353355,ba,1.71,15.065,10.707,0.005,199.947,1.001,V
2457052.73753,2015-01-30.2367359,ba,1.63,15.060,10.713,0.006,199.039,1.051,V
2457055.72631,2015-02-02.2257281,ba,1.74,14.974,10.628,0.006,215.221,1.174,V
2457055.72774,2015-02-02.2271546,ba,1.71,14.962,10.622,0.006,216.425,1.244,V
2457069.71564,2015-02-16.2160425,ba,1.98,14.893,10.637,0.006,213.211,1.174,V
2457069.71728,2015-02-16.2176790,ba,1.99,14.958,10.641,0.006,212.765,1.164,V
2457180.11521,2015-06-06.6187940,ba,2.02,14.701,10.687,0.007,203.838,1.302,V
2457180.11680,2015-06-06.6203846,ba,2.09,99.990,99.990,99.990,99.990,99.990,V
2457181.11229,2015-06-07.6158443,ba,1.98,14.894,10.578,0.006,225.284,1.342,V
2457181.11388,2015-06-07.6174273,ba,2.00,14.791,10.595,0.007,221.768,1.388,V
2457189.10920,2015-06-15.6124513,ba,2.23,14.909,10.643,0.006,212.300,1.227,V
2457189.11076,2015-06-15.6140194,ba,2.25,14.906,10.634,0.007,213.942,1.317,V
2457190.10584,2015-06-16.6090603,ba,1.81,15.185,11.072,0.007,142.963,0.906,V
2457190.10737,2015-06-16.6105827,ba,1.98,15.158,11.066,0.007,143.745,0.867,V
2457191.09958,2015-06-17.6027527,ba,1.63,15.101,10.801,0.006,183.446,1.083,V
2457191.10102,2015-06-17.6041914,ba,1.69,15.079,10.755,0.006,191.469,0.998,V
2457192.09859,2015-06-18.6016883,ba,1.67,14.930,10.660,0.006,208.988,1.194,V
2457192.09997,2015-06-18.6030674,ba,1.67,14.906,10.668,0.006,207.264,1.220,V
2457194.09427,2015-06-20.5972829,ba,1.71,14.990,10.614,0.006,217.923,1.186,V
2457194.09583,2015-06-20.5988439,ba,1.76,14.996,10.600,0.006,220.654,1.151,V
2457198.08173,2015-06-24.5845552,ba,2.17,14.950,10.640,0.006,212.813,1.210,V
2457198.08323,2015-06-24.5860543,ba,2.18,14.965,10.656,0.006,209.621,1.211,V
2457204.08194,2015-06-30.5844429,ba,1.63,14.971,10.694,0.006,202.506,1.119,V
2457204.08349,2015-06-30.5859879,ba,1.63,15.021,10.686,0.006,204.121,1.100,V
2457212.07636,2015-07-08.5784003,ba,1.63,15.001,10.610,0.006,218.731,1.185,V
2457212.07787,2015-07-08.5799067,ba,1.63,14.977,10.619,0.006,217.001,1.132,V
2457215.03776,2015-07-11.5396158,ba,2.13,14.720,10.831,0.013,178.551,2.071,V
2457215.03928,2015-07-11.5411370,ba,2.13,14.454,10.902,0.010,167.155,1.552,V
2457216.03756,2015-07-12.5393596,ba,1.74,15.063,10.726,0.006,196.496,1.097,V
2457216.03909,2015-07-12.5408883,ba,1.70,15.029,10.714,0.006,198.715,1.099,V
2457222.04344,2015-07-18.5448555,ba,1.62,15.051,10.675,0.006,206.110,1.042,V
2457222.04500,2015-07-18.5464127,ba,1.63,15.055,10.668,0.006,207.213,1.079,V
2457228.01362,2015-07-24.5146466,ba,1.63,15.099,10.811,0.006,181.872,0.985,V
2457228.01508,2015-07-24.5160982,ba,1.64,15.119,10.821,0.006,180.212,1.002,V
2457231.99768,2015-07-28.4984348,ba,1.62,14.985,10.671,0.006,206.796,1.171,V
2457231.99911,2015-07-28.4998667,ba,1.62,14.975,10.640,0.006,212.767,1.186,V
2457238.01843,2015-08-03.5187721,ba,1.69,14.985,10.682,0.006,204.760,1.141,V
2457238.01985,2015-08-03.5201954,ba,1.62,14.984,10.689,0.006,203.370,1.228,V
2457243.06407,2015-08-08.5640651,ba,1.64,15.048,10.647,0.006,211.494,1.078,V
2457243.06547,2015-08-08.5654633,ba,1.64,15.014,10.633,0.006,214.147,1.129,V
2457246.04820,2015-08-11.5479865,ba,1.65,15.067,10.667,0.006,207.651,1.022,V
2457246.04960,2015-08-11.5493894,ba,1.60,15.094,10.721,0.006,197.502,1.025,V
2457260.93603,2015-08-26.4348155,ba,1.89,14.018,10.547,0.015,231.862,3.104,V
2457260.93729,2015-08-26.4360699,ba,1.74,14.678,10.595,0.007,221.810,1.429,V
2457260.93854,2015-08-26.4373196,ba,1.82,14.595,10.627,0.009,215.288,1.718,V
2457263.04040,2015-08-28.5390482,ba,1.69,15.051,10.860,0.006,173.636,0.983,V
2457263.04166,2015-08-28.5403024,ba,1.65,15.073,10.862,0.007,173.525,1.033,V
2457263.04291,2015-08-28.5415587,ba,1.59,15.048,10.863,0.007,173.282,1.002,V
2457270.89030,2015-09-05.3884445,ba,1.63,14.887,10.900,0.007,167.447,1.082,V
2457270.89122,2015-09-05.3893603,ba,1.60,14.917,10.892,0.006,168.681,1.044,V
2457270.89212,2015-09-05.3902694,ba,1.62,14.919,10.893,0.007,168.557,1.135,V
2457276.06770,2015-09-10.5655328,ba,1.65,14.913,10.827,0.006,179.055,1.074,V
2457276.06861,2015-09-10.5664415,ba,1.68,14.925,10.816,0.006,180.876,1.073,V
2457276.06952,2015-09-10.5673563,ba,1.65,14.896,10.809,0.007,182.207,1.122,V
2457288.01328,2015-09-22.5104655,ba,2.05,14.967,11.072,0.007,142.919,0.941,V
2457288.01420,2015-09-22.5113896,ba,2.07,15.005,11.063,0.007,144.153,0.957,V
2457288.01514,2015-09-22.5123288,ba,2.04,14.978,11.053,0.007,145.456,0.987,V
2457291.05030,2015-09-25.5473410,ba,1.72,14.972,10.640,0.006,212.643,1.151,V
2457291.05155,2015-09-25.5485909,ba,1.73,14.975,10.634,0.006,213.858,1.168,V
2457291.05281,2015-09-25.5498472,ba,1.70,14.972,10.631,0.006,214.565,1.162,V
2457297.85820,2015-10-02.3549384,ba,1.66,14.925,10.596,0.006,221.745,1.213,V
2457297.85945,2015-10-02.3561937,ba,1.61,14.957,10.592,0.006,222.411,1.222,V
2457297.86070,2015-10-02.3574457,ba,1.68,15.012,10.619,0.006,217.039,1.173,V
