hjd,phase,mag
2458790.681515912,0.830161412920063,10.56083
2458790.7023493233,0.8423036561664503,10.57358
2458790.723182734,0.8544458991414672,10.58205
2458790.7440162436,0.8665881996531084,10.5944
2458790.764849653,0.8787304418139001,10.60483
2458790.7856830624,0.8908726839747487,10.61742
2458790.806516471,0.9030149255927427,10.63601
2458790.827349978,0.9151572247474178,10.67632
2458790.848183386,0.9272994660939844,10.73463
2458790.8690167926,0.9394417066264396,10.80671
2458790.8898501988,0.9515839468874105,10.89281
2458790.910683705,0.9637262454992879,10.9888
2458790.9315171097,0.9758684849460906,11.0843
2458790.9523505145,0.9880107243928933,11.14456
2458790.9731839187,0.00015296356832550373,11.15643
2458790.994017322,0.01229520220095992,11.10942
2458791.0148508255,0.02443749918438698,11.02195
2458791.035684228,0.03657973727422359,10.92698
2458791.05651763,0.048721975092632874,10.83366
2458791.0773510314,0.06086421263967168,10.7541
2458791.0981845325,0.07300650826613264,10.69107
2458791.38985239,0.24299797206663243,10.51846
2458791.410685783,0.25514020445706365,10.50813
2458791.4315192755,0.26728249519834435,10.50205
2458791.4523526677,0.2794247273174051,10.49407
2458791.473186059,0.29156695889361117,10.49535
2458791.4940194497,0.3037091901984468,10.49801
2458791.51485294,0.31585147958270454,10.5039
2458791.53568633,0.32799371034474234,10.51304
2458791.5565197193,0.34013594083540966,10.52219
2458791.5773531077,0.3522781707832223,10.53445
2458791.5981865963,0.3644204590819413,10.54575
2458791.619019984,0.3765626884869562,10.55448
2458791.6398533713,0.3887049178920279,10.56499
2458791.6606867583,0.40084714702567226,10.57743
2458791.681520244,0.412989433695941,10.59906
2458791.7023536293,0.42513166174398975,10.63303
2458791.723187015,0.43727389006346584,10.67081
2458791.7440203996,0.4494161178400873,10.72005
2458791.764853883,0.4615584031533899,10.77243
2458791.785687267,0.47370063038721355,10.81904
2458791.8065206497,0.4858428570782962,10.84913
2458791.827354032,0.4979850834978947,10.8619
2458791.848187514,0.5101273679970291,10.84587
2458791.8690208956,0.5222695938738866,10.81091
2458791.889854276,0.5344118192079463,10.7667
2458791.9106876566,0.5465540445419492,10.72158
2458791.9315211363,0.5586963276840606,10.68005
2458791.9523545154,0.5708385522039521,10.64417
2458791.973187894,0.5829807764523594,10.61834
2458791.9940212723,0.595123000429453,10.60068
2458792.01485465,0.6072652241351193,10.59126
2458792.0356881274,0.6194075059202078,10.58415
2458792.0565215037,0.631549728811649,10.57554
2458792.0773548796,0.6436919514317196,10.56876
2458792.098188355,0.6558342321312125,10.56093
2458792.1190217305,0.6679764544798559,10.55442
2458792.1398551045,0.680118676014331,10.54881
2458792.1606884785,0.692260897548806,10.54813
2458792.181521852,0.7044031188118538,10.54464
